Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,903.63,997.61,414.40,452.10,729.48
Short Term Investments,188.89,0.36,0.42,0.60,0.00
Cash and Short Term Investments,1092.52,997.97,414.82,452.70,729.48
"Accounts Receivable - Trade, Net",1457.98,1879.80,2208.21,2495.70,2203.27
"Total Receivables, Net",1739.01,2106.35,2425.30,2793.37,2510.36
Prepaid Expenses,57.27,49.07,50.98,59.20,41.52
"Other Current Assets, Total",25.80,40.56,22.66,22.06,37.96
Total Current Assets,4812.88,4276.31,4097.28,4639.19,4588.51
"Property/Plant/Equipment, Total - Gross",3556.34,3722.54,3846.07,4473.96,4630.29
"Accumulated Depreciation, Total",-1886.21,-2003.14,-2103.33,-2184.95,-2334.54
"Property/Plant/Equipment, Total - Net",1670.13,1719.40,1742.74,2289.01,2295.75
"Goodwill, Net",507.14,512.19,517.34,814.01,786.38
"Intangibles, Net",512.44,575.22,633.90,1166.20,1159.76
Long Term Investments,727.58,808.73,472.10,469.60,492.05
Total Assets,8365.05,8024.42,7573.02,9521.28,9561.33
Accounts Payable,0,0,0,0,0
Accrued Expenses,1.92,2.49,2.40,11.27,8.00
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",1989.18,1763.56,1793.69,2989.57,2120.32
Total Current Liabilities,3801.02,3587.43,3851.26,5446.41,3895.99
Total Long Term Debt,992.85,894.42,270.36,468.90,1550.56
Total Debt,1080.28,1116.06,495.78,901.57,1650.67
Deferred Income Tax,216.59,205.20,170.73,174.73,166.52
"Other Liabilities, Total",910.40,841.03,746.06,940.24,1373.47
Total Liabilities,6182.79,5809.40,5326.65,7299.00,7268.71
"Common Stock, Total",895.93,895.93,895.93,895.93,895.93
Retained Earnings (Accumulated Deficit),1348.56,1471.27,1392.04,1467.08,1469.29
Treasury Stock - Common,-44.08,-22.87,-9.03,-26.73,-23.74
Unrealised Gain (Loss),-27.90,22.76,-0.36,-32.70,-7.57
"Other Equity, Total",-106.19,-163.68,-148.15,-197.24,-157.24
Total Equity,2182.26,2215.01,2246.38,2222.28,2292.61
Total Liabilities & Shareholders' Equity,8365.05,8024.42,7573.02,9521.28,9561.33
Total Common Shares Outstanding,3108.61,3115.72,3119.79,3115.74,3115.53
"Tangible Book Value per Share, Common Eq",0.37,0.36,0.35,0.08,0.11
