Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,106.35,94.21,136.28,156.48,196.28
Short Term Investments,264.56,221.76,263.17,346.02,311.44
Cash and Short Term Investments,370.92,315.97,399.45,502.50,507.72
"Accounts Receivable - Trade, Net",191.13,261.43,259.12,248.66,164.89
"Total Receivables, Net",199.01,271.58,264.69,262.07,166.41
Prepaid Expenses,10.82,11.95,12.11,11.36,13.03
"Other Current Assets, Total",22.43,26.11,9.28,9.38,5.68
Total Current Assets,607.63,626.57,686.23,785.63,693.40
"Property/Plant/Equipment, Total - Gross",767.37,779.69,820.03,802.83,796.92
"Accumulated Depreciation, Total",-251.66,-287.97,-353.23,-288.13,-321.30
"Property/Plant/Equipment, Total - Net",515.72,491.71,466.80,514.69,475.61
"Goodwill, Net",305.12,299.38,265.40,259.50,270.90
"Intangibles, Net",95.57,86.35,42.04,37.86,43.63
Long Term Investments,1124.19,1164.70,1144.98,1139.20,1219.40
Total Assets,2666.72,2684.14,2619.24,2751.64,2721.77
Accounts Payable,201.33,305.72,301.49,341.35,351.54
Accrued Expenses,104.82,107.00,108.18,104.61,101.93
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",131.98,159.85,160.26,134.41,108.22
Total Current Liabilities,586.92,596.04,851.78,756.68,594.82
Total Long Term Debt,215.20,220.50,9.03,274.28,373.04
Total Debt,363.99,243.98,290.88,450.59,406.16
Deferred Income Tax,62.55,52.39,41.88,34.44,36.87
"Other Liabilities, Total",97.09,68.95,56.09,43.92,45.63
Total Liabilities,1013.32,978.24,1006.17,1152.26,1098.19
"Common Stock, Total",638.76,638.76,638.76,638.76,638.76
Retained Earnings (Accumulated Deficit),625.86,700.02,626.40,620.95,614.03
Treasury Stock - Common,-1.23,-16.02,-30.17,-29.72,-29.72
Unrealised Gain (Loss),43.19,43.61,44.58,44.62,58.73
"Other Equity, Total",346.83,339.52,333.50,324.78,341.78
Total Equity,1653.40,1705.90,1613.07,1599.38,1623.58
Total Liabilities & Shareholders' Equity,2666.72,2684.14,2619.24,2751.64,2721.77
Total Common Shares Outstanding,2273.90,2262.76,2249.23,2249.58,2275.09
"Tangible Book Value per Share, Common Eq",0.55,0.58,0.58,0.58,0.58
