Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge,
"Fidelity Emerging Europe Middle East and Africa A-USD",USD,9,Y,N,N,Y,1.50%,1.93%,USD 561.00,1000.00,100.00,2.15%,Reinvest,Y,0,
"Natixis Harris Associates US Equity RA SGD",SGD,8,Y,N,N,N,1.88%,1.95%,USD 836.80,1500.00,100.00,,,,0,
"Fidelity Global Dividend A-MINCOME(G)-AUD (hedged)",AUD,7,Y,N,N,N,1.50%,1.89%,USD 10502.00,1000.00,100.00,2.60%,Payout,M,0,
"Blackrock Global Equity Income A6 USD",USD,7,Y,N,N,Y,1.50%,1.83%,USD 1077.77,1000.00,100.00,2.94%,Reinvest,M,0,
"Blackrock Global Multi-Asset Income A6 USD",USD,5,Y,N,N,Y,1.50%,1.78%,USD 6840.35,1000.00,100.00,4.82%,Reinvest,M,0,
"NN (L) Global High Dividend X EUR",EUR,7,Y,N,N,Y,2.00%,2.30%,EUR 517.05,1000.00,500.00,,,,0,
"Schroder ISF Asian Dividend Maximiser A Dis AUD-H",AUD,8,Y,N,N,N,1.50%,1.89%,USD 264.15,1000.00,100.00,6.67%,Payout,M,0,
"Janus Henderson Horizon Pan European Equity A2 EUR",EUR,8,Y,N,N,N,1.20%,1.88%,EUR 676.71,1000.00,100.00,,,,0,
"Allianz Income and Growth Cl AM DIS H2-RMB",CNH,7,Y,N,N,Y,1.25%,1.54%,USD 34043.52,1000.00,100.00,9.28%,Payout,M,0,
"LionGlobal Japan Growth Fund SGD-H",SGD,8,Y,Y,N,Y,1.40%,1.55%,SGD 294.80,1000.00,100.00,,,,0,
"Natixis DNCA Europe Smaller Companies RA SGD",SGD,10,Y,N,N,N,2.05%,2.20%,EUR 158.90,1500.00,100.00,,,,0,
"Wells Fargo US All Cap Growth Fund Cl A Acc USD",USD,9,Y,N,N,N,1.60%,1.73%,USD 1420.00,1000.00,100.00,,,,0,
"Fidelity Latin America A-USD",USD,9,Y,N,N,N,1.50%,1.93%,USD 778.00,1000.00,100.00,0.57%,Reinvest,Y,0,
"LionGlobal India Fund SGD",SGD,9,Y,N,N,Y,1.25%,1.56%,SGD 115.30,1000.00,100.00,,,,0,
"FTIF - Templeton Global Bond A Acc USD",USD,3,Y,N,N,N,0.75%,1.43%,USD 6550.00,1000.00,100.00,,,,0,
"JPMorgan Funds - Emerging Markets Equity A (acc) SGD",SGD,9,Y,N,N,Y,1.50%,1.80%,USD 13079.80,1000.00,500.00,,,,0,
"Neuberger Berman High Yield Bond A MDis SGD-H",SGD,4,Y,N,N,Y,1.20%,1.34%,USD 3256.23,1000.00,100.00,6.08%,Payout,M,0,
"Fidelity Sustainable Asia Equity A-SGD",SGD,8,Y,N,N,Y,1.50%,1.92%,USD 4001.00,1000.00,100.00,0.09%,Reinvest,Y,0,
"Manulife SGD Income A QDis USD-H",USD,3,Y,N,N,N,1.00%,1.15%,SGD 661.69,1000.00,100.00,4.02%,Payout,Q,0,
"Schroder ISF Asian Dividend Maximiser A Acc USD",USD,8,Y,N,N,N,1.50%,1.86%,USD 264.15,1000.00,100.00,,,,0,
"Schroder ISF Asian Dividend Maximiser A Dis USD",USD,8,Y,N,N,N,1.50%,1.86%,USD 264.15,1000.00,100.00,6.80%,Payout,M,0,
"United High Grade Corporate Bond A Acc SGD",SGD,3,Y,N,N,Y,0.80%,1.17%,SGD 63.38,1000.00,100.00,,,,0,
"Janus Henderson Horizon Asian Dividend Income A2 SGD",SGD,8,Y,N,N,N,1.20%,1.93%,USD 121.94,1000.00,100.00,,,,0,
"Nikko AM Global Dividend Equity Dis CNH-H",CNH,7,Y,N,N,N,1.50%,1.65%,USD 74.24,1000.00,100.00,4.82%,Payout,M,0,
"NN (L) Euro High Dividend P EUR",EUR,8,Y,N,N,Y,1.50%,1.80%,EUR 726.84,1000.00,100.00,,,,0,
"PineBridge US Large Cap Research Enhanced A5CP SGD",SGD,8,Y,Y,N,Y,1.00%,1.66%,USD 150.50,1000.00,100.00,,,,0,
"Nikko AM China Onshore Bond Fund RMB",CNH,5,Y,N,N,N,0.90%,1.31%,CNH 135.19,5000.00,500.00,3.96%,Payout,M,0,
"United Asian Income Fund Acc USD",USD,7,Y,N,N,N,1.00%,2.87%,USD 3.61,1000.00,100.00,,,,0,
"Schroder ISF Japanese Equity A Acc USD-H",USD,8,Y,N,N,N,1.25%,1.62%,JPY 195261.64,1000.00,100.00,,,,0,
"BNP Paribas US Mid Cap Classic H SGD",SGD,10,Y,N,N,N,1.75%,2.30%,USD 138.00,1000.00,100.00,,,,0,
"Janus Henderson Horizon Euroland A2 USD-H",USD,8,Y,N,N,N,1.20%,1.87%,EUR 1040.00,1000.00,100.00,,,,0,
"Legg Mason ClearBridge - Tactical Dividend Income A Mdis SGD-H Plus",SGD,9,Y,N,N,N,1.25%,1.74%,USD 41.45,1000.00,100.00,4.12%,Reinvest,M,0,
"Blackrock World Healthscience A2 USD",USD,10,Y,N,N,Y,1.50%,1.82%,USD 12369.31,1000.00,100.00,,,,0,
"Allianz Europe Income and Growth Cl AMg DIS EUR",EUR,7,Y,N,N,Y,1.25%,1.55%,EUR 81.19,1000.00,100.00,4.30%,Payout,M,0,
"Phillip Singapore Real Estate Income Cl A SGD",SGD,10,Y,N,N,Y,1.20%,1.51%,SGD 64.75,1000.00,100.00,3.06%,Reinvest,Q,0,
"Janus Henderson Horizon Pan European Absolute Return A2 EUR",EUR,8,Y,N,N,N,1.20%,5.71%,EUR 351.88,1000.00,100.00,,,,0,
"HGIF - Asia ex Japan Equity AD SGD",SGD,8,Y,N,N,Y,1.50%,1.85%,USD 866.40,1000.00,100.00,0.36%,Reinvest,Y,0,
"BNP Paribas China Equity Classic USD",USD,9,Y,N,N,N,1.75%,2.22%,USD 2592.00,1000.00,100.00,,,,0,
"BNP Paribas China Equity Classic Dis USD",USD,9,Y,N,N,N,1.75%,2.22%,USD 2592.00,1000.00,100.00,1.51%,Reinvest,Y,0,
"BNP Paribas China Equity Classic EUR",EUR,9,Y,N,N,N,1.75%,2.22%,USD 2592.00,1000.00,100.00,,,,0,
"JPMorgan Funds - Emerging Markets Local Currency Debt A (acc) USD",USD,5,Y,N,N,Y,1.00%,1.30%,USD 1886.00,1000.00,100.00,,,,0,
"Fullerton Lux Funds - Asian Bonds A Dis SGD-H",SGD,3,Y,N,N,Y,1.00%,1.15%,SGD 443.35,1000.00,100.00,3.95%,Payout,Q,0,
"Blackrock Nutrition A2 EUR-H",EUR,10,Y,N,N,Y,1.50%,1.82%,USD 229.38,1000.00,100.00,,,,0,
"Manulife Global Asset Allocation - Growth A MDis SGD",SGD,6,Y,N,N,Y,1.35%,1.84%,SGD 25.84,1000.00,100.00,4.54%,Payout,M,0,
"JPMorgan Investment Funds - Global Income A (mth) SGD-H",SGD,5,Y,N,N,Y,1.25%,1.42%,USD 27976.80,1000.00,500.00,4.01%,Reinvest,M,0,
"Blackrock World Real Estate Securities A2 USD",USD,10,Y,N,N,Y,1.50%,1.85%,USD 166.99,1000.00,100.00,,,,0,
"Schroder ISF Latin American A Acc USD",USD,9,Y,N,N,N,1.50%,1.88%,USD 250.71,1000.00,100.00,,,,0,
"Allianz Europe Income and Growth Cl AMg DIS H2-AUD",AUD,7,Y,N,N,Y,1.25%,1.55%,EUR 81.19,1000.00,100.00,5.16%,Payout,M,0,
"Threadneedle (Lux) Pan European ESG Equities ASH Acc SGD-H",SGD,8,Y,N,N,Y,1.30%,1.80%,SGD 612.30,1000.00,100.00,,,,0,
"Eastspring Investments Unit Trusts - Asian Infrastructure Equity SGD",SGD,10,Y,N,N,Y,0.50%,2.21%,SGD 18.30,1000.00,100.00,,,,0,
"Aberdeen Standard Thailand Equity SGD",SGD,9,Y,Y,N,Y,1.50%,1.75%,SGD 72.00,1000.00,100.00,,,,0,
"HSBC Portfolios - World Selection 3 AC USD",USD,6,Y,N,N,N,1.20%,1.42%,USD 1021.39,1000.00,100.00,,,,0,
"Manulife Global Asset Allocation - Growth A MDis SGD-H",SGD,6,Y,N,N,Y,1.35%,1.84%,SGD 25.84,1000.00,100.00,4.53%,Payout,M,0,
"Eastspring Investments - Asian High Yield Bond Cl A USD",USD,5,Y,N,N,N,1.00%,1.35%,USD 475.20,1000.00,100.00,,,,0,
"Allianz Total Return Asian Equity AM DIS USD",USD,8,Y,N,N,Y,1.75%,2.07%,USD 610.67,1000.00,100.00,1.99%,Payout,M,0,
"Blackrock Global High Yield Bond A2 GBP-H",GBP,4,Y,N,N,Y,1.25%,1.46%,USD 2364.76,1000.00,100.00,,,,0,
"Blackrock US Dollar High Yield Bond A2 SGD-H",SGD,4,Y,N,N,Y,1.25%,1.46%,USD 3698.90,1000.00,100.00,,,,0,
"Blackrock US Dollar High Yield Bond A3 SGD-H",SGD,4,Y,N,N,Y,1.25%,1.46%,USD 3698.90,1000.00,100.00,4.00%,Reinvest,M,0,
"Legg Mason ClearBridge - Value A Acc SGD",SGD,8,Y,N,N,N,1.35%,1.80%,USD 670.00,1000.00,100.00,,,,0,
"Allianz Europe Income and Growth Cl AMg DIS H2-SGD",SGD,7,Y,N,N,Y,1.25%,1.56%,EUR 81.19,1000.00,100.00,5.06%,Payout,M,0,
"Blackrock European Special Situations A2 GBP-H",GBP,8,Y,N,N,Y,1.50%,1.82%,EUR 1344.67,1000.00,100.00,,,,0,
"Allianz Europe Income and Growth Cl AMg DIS H2-USD",USD,7,Y,N,N,Y,1.25%,1.55%,EUR 81.19,1000.00,100.00,5.06%,Payout,M,0,
"LionGlobal Singapore Fixed Income Investment A SGD",SGD,1,Y,Y,Y,Y,0.50%,0.61%,SGD 123.80,1000.00,100.00,,,,0,
"Allianz Income and Growth Cl AM DIS H2-AUD",AUD,7,Y,N,N,Y,1.25%,1.54%,USD 34043.52,1000.00,100.00,7.35%,Payout,M,0,
"Blackrock US Dollar High Yield Bond A6 USD",USD,4,Y,N,N,Y,1.25%,1.46%,USD 3698.90,1000.00,100.00,5.83%,Reinvest,M,0,
"Blackrock US Dollar High Yield Bond A8 AUD-H",AUD,4,Y,N,N,Y,1.25%,1.46%,USD 3698.90,1000.00,100.00,5.12%,Reinvest,M,0,
"FSSA Dividend Advantage A QDIS USD",USD,8,Y,N,N,N,1.50%,1.73%,USD 3679.00,1000.00,100.00,4.03%,Payout,Q,0,
"JPMorgan Funds - ASEAN Equity A (acc) SGD",SGD,9,Y,N,N,Y,1.50%,1.80%,USD 1306.70,1000.00,500.00,,,,0,
"First Eagle Amundi International AS-C SGD",SGD,7,Y,N,N,N,2.00%,2.20%,USD 6761.81,1000.00,100.00,,,,0,
"Eastspring Investments - Global Emerging Markets Dynamic AS SGD",SGD,9,Y,N,N,N,1.50%,1.91%,USD 659.00,1000.00,100.00,,,,0,
"Blackrock Asian Dragon A2 AUD-H",AUD,8,Y,N,N,Y,1.50%,1.85%,USD 1340.41,1000.00,100.00,,,,0,
"Blackrock Asian Dragon A2 USD",USD,8,Y,N,N,Y,1.50%,1.85%,USD 1340.41,1000.00,100.00,,,,0,
"Blackrock European Fund A2 EUR",EUR,8,Y,N,N,Y,1.50%,1.82%,EUR 1495.44,1000.00,100.00,,,,0,
"Manulife SGD Income C Qdis SGD",SGD,3,Y,N,N,Y,0.80%,0.95%,SGD 661.69,100000.00,10000.00,4.03%,Payout,Q,0,
"LionGlobal Japan Growth Fund SGD",SGD,8,Y,Y,N,Y,1.40%,1.55%,SGD 294.80,1000.00,100.00,,,,0,
"LionGlobal Taiwan SGD",SGD,9,Y,N,N,Y,1.25%,2.01%,SGD 12.70,1000.00,100.00,,,,0,
"Aviva Investors - Multi-Strategy Target Return A EUR",EUR,10,Y,N,N,Y,1.50%,1.60%,EUR 1156.93,1000.00,100.00,,,,0,
"Schroder Multi-Asset Revolution A Dis SGD",SGD,6,Y,Y,Y,Y,1.25%,1.50%,SGD 522.82,1000.00,500.00,3.94%,Reinvest,Q,0,
"JPMorgan Funds - Greater China A (dist) USD",USD,8,Y,N,N,Y,1.50%,1.78%,USD 3100.80,1000.00,100.00,0.01%,Reinvest,Y,0,
"Fidelity Global Multi Asset Income A-HMDIST(G)-AUD (hedged)",AUD,6,Y,N,N,N,1.25%,1.68%,USD 10367.00,1000.00,100.00,4.11%,Payout,M,0,
"Neuberger Berman Emerging Market Debt Local Currency A MDis SGD-H",SGD,5,Y,N,N,Y,1.50%,1.70%,USD 2516.73,1000.00,100.00,6.50%,Payout,M,0,
"Blackrock ASEAN Leaders A2 USD",USD,9,Y,N,N,Y,1.50%,1.85%,USD 48.96,1000.00,100.00,,,,0,
"Blackrock Emerging Europe A2 EUR",EUR,9,Y,N,N,Y,1.75%,2.07%,EUR 645.36,1000.00,100.00,,,,0,
"Blackrock World Healthscience A2 AUD-H",AUD,10,Y,N,N,Y,1.50%,1.82%,USD 12369.31,1000.00,100.00,,,,0,
"Blackrock Latin American A2 SGD-H",SGD,9,Y,N,N,Y,1.75%,2.11%,USD 871.53,1000.00,100.00,,,,0,
"Blackrock Nutrition A2 USD",USD,10,Y,N,N,Y,1.50%,1.82%,USD 229.38,1000.00,100.00,,,,0,
"Blackrock Emerging Markets Corporate Bond A2 EUR-H",EUR,5,Y,N,N,Y,1.50%,1.69%,USD 1155.46,1000.00,100.00,,,,0,
"Manulife SGD Income A QDis AUD-H",AUD,3,Y,N,N,N,1.00%,1.15%,SGD 661.69,1000.00,100.00,4.03%,Payout,Q,0,
"Manulife Asia Pacific Investment Grade Bond A MDis SGD",SGD,3,Y,N,N,Y,0.75%,0.89%,SGD 510.69,1000.00,100.00,3.60%,Payout,M,0,
"FSSA Singapore Growth A Acc SGD",SGD,9,Y,N,N,Y,1.50%,1.96%,SGD 40.60,1000.00,100.00,,,,0,
"Blackrock World Mining A2 USD",USD,10,Y,N,N,Y,1.75%,2.07%,USD 7471.73,1000.00,100.00,,,,0,
"FTIF - Franklin Income A MDIS SGD-H1",SGD,6,Y,N,N,Y,0.85%,1.72%,USD 1410.00,1000.00,100.00,5.73%,Payout,M,0,
"LionGlobal South East Asia SGD",SGD,9,Y,N,N,Y,1.50%,2.20%,SGD 12.50,1000.00,100.00,,,,0,
"Eastspring Investments - India Discovery Fund AS SGD",SGD,9,Y,N,N,N,1.50%,6.47%,USD 1.00,1000.00,100.00,,,,0,
"Blackrock Global Corporate Bond A2 EUR-H",EUR,3,Y,N,N,Y,0.90%,1.11%,USD 1618.65,1000.00,100.00,,,,0,
"Fidelity Asian Smaller Companies A-ACC-SGD",SGD,10,Y,N,N,N,1.50%,1.93%,USD 1117.00,1000.00,100.00,,,,0,
"Legg Mason ClearBridge - US Aggressive Growth A Acc SGD-H",SGD,9,Y,N,N,N,1.30%,1.74%,USD 767.00,1000.00,100.00,,,,0,
"Blackrock European Fund A2 SGD-H",SGD,8,Y,N,N,Y,1.50%,1.82%,EUR 1495.44,1000.00,100.00,,,,0,
"Fidelity Greater China Multi Asset Growth & Income A-MINCOME(G)-USD",USD,8,Y,N,N,N,1.25%,1.61%,USD 28.00,1000.00,100.00,4.10%,Payout,M,0,
"Fidelity Greater China Multi Asset Growth & Income A-MINCOME(G)-SGD",SGD,8,Y,N,N,N,1.25%,1.61%,USD 28.00,1000.00,100.00,4.16%,Payout,M,0,
"JPMorgan Investment Funds - Global Select Equity A (acc) USD",USD,7,Y,N,N,Y,1.50%,1.75%,USD 971.70,1000.00,100.00,,,,0,
"Schroder Asian Investment Grade Credit A SGD",SGD,3,Y,Y,Y,Y,0.80%,0.89%,SGD 450.47,1000.00,500.00,3.03%,Reinvest,Q,0,
"United International Growth Fund SGD",SGD,7,Y,N,N,Y,1.00%,1.38%,SGD 57.69,500.00,100.00,,,,0,
"LionGlobal Short Duration Bond Cl A Acc SGD",SGD,2,Y,N,N,Y,0.50%,0.57%,SGD 703.10,1000.00,100.00,,,,0,
"Wells Fargo Emerging Markets Equity Income A Dis USD",USD,9,Y,N,N,N,1.85%,2.15%,USD 169.47,1100.00,100.00,2.38%,Payout,M,0,
"Nikko AM Shenton Asia Pacific Fund SGD",SGD,8,Y,N,N,Y,1.50%,1.66%,SGD 97.12,1000.00,100.00,,,,0,
"United Sustainable Asia Top-50 Fund SGD",SGD,8,Y,N,N,Y,1.50%,2.85%,SGD 13.42,1000.00,100.00,,,,0,
"JPMorgan Funds - Emerging Markets Opportunities A (acc) USD",USD,9,Y,N,N,Y,1.50%,1.74%,USD 5827.80,1000.00,500.00,,,,0,
"Fidelity Emerging Market Debt A-MDIST-AUD (hedged)",AUD,5,Y,N,N,N,1.20%,1.61%,USD 2625.00,1000.00,100.00,5.12%,Payout,M,0,
"JPMorgan Investment Funds - Global Income A (mth) USD-H",USD,5,Y,N,N,Y,1.25%,1.40%,USD 27976.80,1000.00,500.00,3.99%,Payout,M,0,
"JPMorgan Funds - Asia Pacific Income A (irc) AUD-H",AUD,6,Y,N,N,Y,1.50%,1.78%,USD 2218.90,1000.00,500.00,3.47%,Payout,M,0,
"Blackrock European Fund A2 USD-H",USD,8,Y,N,N,Y,1.50%,1.82%,EUR 1495.44,1000.00,100.00,,,,0,
"Schroder ISF Greater China F Acc SGD (CPF)",SGD,8,N,Y,N,N,1.50%,1.70%,USD 4309.75,1000.00,100.00,,,,0,
"Fidelity Global Health Care A-EUR",EUR,10,Y,N,N,N,1.50%,1.90%,EUR 1308.00,1000.00,100.00,,,,0,
"United E-Commerce Fund SGD",SGD,10,Y,N,N,Y,1.50%,1.95%,SGD 22.63,1000.00,100.00,,,,0,
"Infinity US 500 Stock Index SGD",SGD,8,Y,N,N,Y,0.47%,0.67%,SGD 208.60,1000.00,100.00,,,,0,
"Nikko AM Global Green Bond Fd",SGD,2,Y,N,N,Y,1.00%,1.97%,SGD 8.70,1000.00,100.00,2.09%,Reinvest,Y,0,
"LionGlobal SGD Money Market SGD",SGD,0,Y,N,N,Y,0.25%,0.33%,SGD 454.20,1000.00,100.00,,,,0,
"Fidelity Global Focus A-ACC-USD",USD,7,Y,N,N,N,1.50%,1.92%,USD 944.00,1000.00,100.00,,,,0,
"First Eagle Amundi Income Builder AU2-MD USD",USD,6,Y,N,N,N,1.60%,1.80%,USD 2907.34,1000.00,100.00,4.89%,Payout,M,0,
"First Eagle Amundi Income Builder AHS-MD SGD-H",SGD,6,Y,N,N,N,1.60%,1.80%,USD 2907.34,1000.00,100.00,4.87%,Payout,M,0,
"First Eagle Amundi International AHS-QD SGD-H",SGD,7,Y,N,N,N,2.00%,2.20%,USD 6761.81,1000.00,100.00,3.78%,Payout,Q,0,
"UBS (Lux) Bond Fund - Euro High Yield P MDIS USD-H",USD,4,Y,N,N,N,1.01%,1.36%,EUR 1735.95,1000.00,100.00,5.45%,Payout,M,0,
"JPMorgan Funds - Brazil Equity A (acc) SGD",SGD,9,Y,N,N,Y,1.50%,1.80%,USD 158.00,1000.00,500.00,,,,0,
"JPMorgan Funds - Emerging Markets Dividend A (mth) SGD",SGD,9,Y,N,N,Y,1.50%,1.80%,USD 538.20,1000.00,500.00,3.29%,Payout,M,0,
"FSSA Dividend Advantage A QDIS SGD",SGD,8,Y,Y,N,Y,1.50%,1.73%,SGD 4894.50,1000.00,100.00,4.07%,Payout,Q,0,
"Eastspring Investments Funds - Monthly Income Plan A SGD",SGD,4,Y,N,N,Y,1.25%,1.43%,SGD 721.40,1000.00,100.00,5.81%,Reinvest,Y,0,
"Allianz US High Yield Cl AM DIS H2-RMB",CNH,4,Y,N,N,Y,1.00%,1.37%,USD 1039.76,1000.00,100.00,8.89%,Payout,M,0,
"Natixis Harris Associates US Equity PA SGD-H",SGD,8,N,Y,N,N,1.68%,1.75%,USD 836.80,1500.00,100.00,,,,0,
"Fidelity European Growth SR-ACC-EUR (CPF)",EUR,8,N,Y,N,N,1.30%,1.69%,EUR 6927.00,1000.00,100.00,,,,0,
"Allianz Total Return Asian Equity AM DIS H2-AUD",AUD,8,Y,N,N,Y,1.75%,2.07%,USD 610.67,1000.00,100.00,2.17%,Payout,M,0,
"Nikko AM Shenton Asia Dividend Equity Fund  SGD",SGD,9,Y,N,N,Y,1.50%,2.98%,SGD 7.78,1000.00,100.00,3.94%,Reinvest,M,0,
"HSBC Portfolios - World Selection 5 AMH SGD",SGD,6,Y,N,N,Y,1.30%,1.63%,USD 382.06,1000.00,100.00,2.19%,Payout,M,0,
"DWS Invest Global Infrastructure LDMH(P) SGD",SGD,9,Y,N,N,N,1.50%,1.65%,EUR 1367.80,1000.00,100.00,7.06%,Payout,M,0,
"Blackrock China Fund A2 USD",USD,9,Y,N,N,Y,1.50%,1.84%,USD 1745.41,1000.00,100.00,,,,0,
"HGIF - Global Emerging Markets Bond AC USD",USD,5,Y,N,N,N,1.25%,1.60%,USD 2072.21,1000.00,100.00,,,,0,
"Blackrock Fixed Income Global Opportunities A2 EUR-H",EUR,4,Y,N,N,Y,1.00%,1.22%,USD 10703.34,1000.00,100.00,,,,0,
"Blackrock Fixed Income Global Opportunities A5 SGD-H",SGD,4,Y,N,N,Y,1.00%,1.22%,USD 10703.34,1000.00,100.00,1.50%,Reinvest,Q,0,
"Blackrock Fixed Income Global Opportunities A6 USD",USD,4,Y,N,N,Y,1.00%,1.22%,USD 10703.34,1000.00,100.00,3.02%,Reinvest,M,0,
"DWS Invest Emerging Markets Corporates LDM USD",USD,5,Y,N,N,N,1.10%,1.25%,USD 138.90,1000.00,100.00,3.95%,Payout,M,0,
"Blackrock European Equity Income A8 AUD-H",AUD,8,Y,N,N,Y,1.50%,1.83%,EUR 1898.37,1000.00,100.00,3.73%,Reinvest,M,0,
"HGIF - Economic Scale US Equity AD USD",USD,8,Y,N,N,N,0.60%,0.95%,USD 312.42,1000.00,100.00,0.53%,Reinvest,Y,0,
"DWS Invest Emerging Markets Corporates LDMH SGD",SGD,5,Y,N,N,N,1.10%,1.29%,USD 138.90,1000.00,100.00,5.08%,Payout,M,0,
"DWS Invest Top Dividend LDQH(P) SGD",SGD,7,Y,N,N,N,1.50%,1.61%,EUR 2521.50,1000.00,100.00,2.47%,Payout,Q,0,
"Neuberger Berman China Equity A Acc USD",USD,9,Y,N,N,Y,1.85%,1.98%,USD 725.09,1000.00,100.00,,,,0,
"Neuberger Berman China Equity A Acc SGD-H",SGD,9,Y,N,N,Y,1.85%,1.98%,USD 725.09,1000.00,100.00,,,,0,
"Blackrock China Fund A2 SGD-H",SGD,9,Y,N,N,Y,1.50%,1.85%,USD 1745.41,1000.00,100.00,,,,0,
"Eastspring Investments - China Equity Fund AS SGD",SGD,9,Y,N,N,Y,1.50%,2.15%,USD 106.40,1000.00,100.00,,,,0,
"Allianz China Equity Cl AT Acc SGD",SGD,9,Y,N,N,Y,1.35%,1.90%,USD 737.73,1000.00,100.00,,,,0,
"Blackrock World Healthscience A2 SGD-H",SGD,10,Y,N,N,Y,1.50%,1.82%,USD 12369.31,1000.00,100.00,,,,0,
"Manulife Global Asset Allocation - Growth A MDis USD",USD,6,Y,N,N,N,1.35%,1.84%,SGD 25.84,1000.00,100.00,4.54%,Payout,M,0,
"HGIF - Managed Solutions - Asia Focused Income AC USD",USD,7,Y,N,N,N,1.25%,1.60%,USD 835.45,1000.00,100.00,,,,0,
"Janus Henderson Horizon Asian Dividend Income A2 USD",USD,8,Y,N,N,N,1.20%,1.93%,USD 121.94,1000.00,100.00,,,,0,
"First Eagle Amundi International AHS-C SGD-H",SGD,7,Y,N,N,N,2.00%,2.20%,USD 6761.81,1000.00,100.00,,,,0,
"Allianz Dynamic Asian High Yield Bond Cl AMg DIS USD",USD,5,Y,N,N,Y,1.25%,1.54%,USD 994.05,1000.00,100.00,8.39%,Payout,M,0,
"Aberdeen Standard Global Emerging Markets SGD",SGD,9,Y,Y,N,Y,1.50%,1.75%,SGD 300.00,1000.00,100.00,,,,0,
"PineBridge India Equity A5CP SGD",SGD,9,Y,Y,N,Y,1.00%,1.70%,USD 809.00,1000.00,100.00,,,,0,
"Allianz Asian Multi Income Plus Cl AMg DIS H2-EUR",EUR,6,Y,N,N,Y,1.25%,1.50%,USD 383.99,1000.00,100.00,4.05%,Payout,M,0,
"Natixis Loomis Sayles Multisector Income RD SGD",SGD,3,Y,N,N,N,1.25%,1.37%,USD 895.50,1100.00,100.00,2.74%,Payout,Q,0,
"Blackrock Global High Yield Bond A6 USD",USD,4,Y,N,N,Y,1.25%,1.46%,USD 2364.76,1000.00,100.00,5.54%,Reinvest,M,0,
"Blackrock Global High Yield Bond A8 AUD-H",AUD,4,Y,N,N,Y,1.25%,1.46%,USD 2364.76,1000.00,100.00,4.42%,Reinvest,M,0,
"DWS Invest Euro High Yield Corporates LC EUR",EUR,4,Y,N,N,N,1.10%,1.18%,EUR 3158.70,1000.00,100.00,,,,0,
"Allianz Asian Multi Income Plus Cl AMg DIS H2-RMB",CNH,6,Y,N,N,Y,1.25%,1.50%,USD 383.99,1000.00,100.00,7.04%,Payout,M,0,
"HSBC Portfolios - World Selection 3 AMH SGD",SGD,6,Y,N,N,Y,1.20%,1.57%,USD 1021.39,1000.00,100.00,2.29%,Payout,M,0,
"FSSA Asian Growth A Acc SGD",SGD,8,Y,Y,N,Y,1.50%,1.75%,SGD 63.70,1000.00,100.00,,,,0,
"PIMCO Global Investment Grade Credit Fund Cl E Inc GBP-H",GBP,3,Y,N,N,Y,1.39%,1.39%,USD 22300.00,1000.00,500.00,1.81%,Payout,Q,0,
"Legg Mason QS - MV Asia Pacific ex Japan Equity Growth and Income A Acc USD",USD,9,Y,N,N,N,1.35%,1.83%,USD 30.15,1000.00,100.00,,,,0,
"JPMorgan Funds - China A (dist) USD",USD,9,Y,N,N,Y,1.50%,1.75%,USD 7626.70,1000.00,500.00,0.01%,Reinvest,Y,0,
"Fidelity International A-ACC-SGD (hedged)",SGD,7,Y,N,N,N,1.50%,,USD 1902.00,1000.00,100.00,,,,0,
"BNP Paribas Japan Small Cap Classic H USD",USD,10,Y,N,N,N,1.75%,2.37%,JPY 133394.00,1000.00,100.00,,,,0,
"JPMorgan Funds - US Technology A (acc) SGD",SGD,10,Y,N,N,N,1.50%,1.80%,USD 6236.30,1000.00,500.00,,,,0,
"Blackrock Sustainable Energy A2 USD",USD,10,Y,N,N,Y,1.75%,1.97%,USD 6264.74,1000.00,100.00,,,,0,
"HGIF - Managed Solutions - Asia Focused Growth AC USD",USD,7,Y,N,N,N,1.50%,1.88%,USD 50.61,1000.00,100.00,,,,0,
"Fullerton Asian Bond Fund Cl B SGD",SGD,3,Y,N,N,Y,0.90%,1.37%,SGD 22.73,1000.00,100.00,,,,0,
"Fidelity Asian Bond A-MDIST-USD",USD,3,Y,N,N,N,0.75%,1.05%,USD 3346.00,1000.00,100.00,3.40%,Payout,M,0,
"BNP Paribas Emerging Bond Opportunities USD",USD,5,Y,N,N,N,1.50%,1.87%,USD 499.00,1000.00,100.00,,,,0,
"Legg Mason ClearBridge - Tactical Dividend Income A Mdis USD Plus",USD,9,Y,N,N,N,1.25%,1.74%,USD 41.45,1000.00,100.00,4.12%,Reinvest,M,0,
"Legg Mason ClearBridge - Tactical Dividend Income A Mdis CNH-H Plus",CNH,9,Y,N,N,N,1.25%,1.74%,USD 41.45,1000.00,100.00,,Reinvest,M,0,
"Natixis DNCA Europe Smaller Companies RA EUR",EUR,10,Y,N,N,N,2.05%,2.20%,EUR 158.90,1000.00,100.00,,,,0,
"HGIF - Global Emerging Markets Bond AM3H SGD",SGD,5,Y,N,N,Y,1.25%,1.62%,USD 2072.21,1000.00,100.00,5.20%,Payout,M,0,
"HGIF - Global Equity Volatility Focused AM2 USD",USD,7,Y,N,N,Y,0.80%,1.85%,USD 131.09,1000.00,100.00,2.04%,Payout,M,0,
