Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge,
"Fidelity China Focus A-USD",USD,9,Y,N,N,N,1.50%,1.91%,USD 2470.00,1000.00,100.00,1.21%,Reinvest,Y,0,
"Fidelity Iberia A-EUR",EUR,8,Y,N,N,N,1.50%,1.93%,EUR 214.00,1000.00,100.00,,Reinvest,Y,0,
"Fidelity United Kingdom A-GBP",GBP,9,Y,N,N,N,1.50%,1.90%,GBP 67.00,1000.00,100.00,1.19%,Reinvest,Y,0,
"LionGlobal Korea USD",USD,9,Y,N,N,N,1.25%,1.67%,SGD 19.30,1000.00,100.00,,,,0,
"Janus Henderson Horizon Euroland A2 EUR",EUR,8,Y,N,N,N,1.20%,1.86%,EUR 1040.00,1000.00,100.00,,,,0,
"Janus Henderson Horizon Pan European Property Equities A2 EUR",EUR,10,Y,N,N,N,1.20%,1.87%,EUR 518.55,1000.00,100.00,,,,0,
"Stewart Investors Global Emerging Markets Leaders A Acc SGD",SGD,9,Y,N,N,Y,1.45%,2.24%,SGD 6.40,1000.00,100.00,,,,0,
"Aberdeen Standard India Opportunities USD",USD,9,Y,N,N,N,1.50%,1.75%,SGD 700.00,1000.00,100.00,,,,0,
"LionGlobal Japan Growth USD",USD,8,Y,N,N,N,1.40%,1.55%,SGD 294.80,1000.00,100.00,,,,0,
"Fidelity Global Multi Asset Dynamic A-USD",USD,10,Y,N,N,Y,1.25%,1.66%,USD 238.00,1000.00,100.00,0.88%,Payout,Y,0,
"Janus Henderson Horizon Global Property Equities A2 USD",USD,10,Y,N,N,N,1.20%,1.88%,USD 1470.00,1000.00,100.00,,,,0,
"DWS China Equity A SGD",SGD,9,Y,N,N,Y,1.50%,1.70%,SGD 106.64,1000.00,100.00,,,,0,
"Fidelity American Diversified A-USD",USD,8,Y,N,N,N,1.50%,1.92%,USD 220.00,1000.00,100.00,,Reinvest,Y,0,
"DWS India Equity A SGD",SGD,9,Y,N,N,Y,1.50%,1.70%,SGD 126.03,1000.00,100.00,,,,0,
"Schroder ISF Emerging Asia A Acc USD",USD,10,Y,N,N,N,1.50%,1.86%,USD 7187.87,1000.00,100.00,,,,0,
"Schroder ISF Global Inflation Linked Bond A Acc EUR",EUR,2,Y,N,N,N,0.75%,0.94%,EUR 1132.88,1000.00,100.00,,,,0,
"LionGlobal Thailand SGD",SGD,9,Y,N,N,Y,1.25%,1.94%,SGD 17.40,1000.00,100.00,,,,0,
"Schroder ISF Strategic Bond A Dis USD",USD,3,Y,N,N,N,1.00%,1.29%,USD 783.91,1000.00,100.00,0.94%,Payout,M,0,
"Eastspring Investments Unit Trusts - Global Themes SGD",SGD,7,Y,N,N,Y,1.50%,1.77%,SGD 21.60,1000.00,100.00,,,,0,
"United Asia Pacific Infrastructure SGD",SGD,9,Y,N,N,Y,1.50%,2.91%,SGD 6.72,1000.00,100.00,,Reinvest,F,0,
"Eastspring Investments - Asian Bond AS SGD",SGD,4,Y,N,N,Y,1.00%,1.33%,USD 3550.50,1000.00,100.00,,,,0,
"Eastspring Investments - Asian Equity Fund AS SGD",SGD,8,Y,N,N,N,1.50%,2.12%,USD 330.80,1000.00,100.00,,,,0,
"Eastspring Investments - Greater China Equity A USD",USD,8,Y,N,N,N,1.50%,2.12%,USD 184.10,1000.00,100.00,,,,0,
"Schroder ISF Emerging Markets A Acc USD",USD,9,Y,N,N,N,1.50%,1.86%,USD 6214.43,1000.00,100.00,,,,0,
"AB FCP I Dynamic Diversified AX SGD",SGD,6,Y,N,N,N,1.40%,1.90%,USD 43.14,3000.00,1000.00,,,,0,
"Fidelity America A-SGD",SGD,8,Y,N,N,Y,1.50%,1.89%,USD 2863.00,1000.00,100.00,,,,0,
"Fidelity US High Yield A-MDIST-SGD",SGD,4,Y,N,N,N,1.00%,1.39%,USD 4436.00,1000.00,100.00,4.46%,Payout,M,0,
"Fidelity ASEAN A-SGD",SGD,9,Y,N,N,Y,1.50%,1.93%,USD 755.00,1000.00,100.00,1.68%,Reinvest,Y,0,
"Fidelity Global Property A-USD",USD,10,Y,N,N,N,1.50%,1.93%,USD 243.00,1000.00,100.00,0.60%,Reinvest,Y,0,
"Fidelity Emerging Markets A-SGD",SGD,9,Y,N,N,Y,1.50%,1.92%,USD 6866.00,1000.00,100.00,0.09%,Reinvest,Y,0,
"Janus Henderson Horizon Asia-Pacific Property Income A2 USD",USD,10,Y,N,N,N,1.20%,1.93%,USD 39.54,1000.00,100.00,,,,0,
"United Greater China Fund A Acc SGD (Fund Ccy USD)",USD,8,Y,N,N,N,1.50%,1.91%,USD 42.65,1000.00,100.00,,,,0,
"AB SICAV I International Health Care Portfolio A SGD",SGD,10,Y,N,N,N,1.80%,1.95%,USD 1661.95,3000.00,1000.00,,,,0,
"LionGlobal Vietnam SGD",SGD,9,Y,N,N,Y,1.50%,1.73%,SGD 148.80,1000.00,100.00,,,,0,
"Fidelity China Focus A-SGD",SGD,9,Y,N,N,Y,1.50%,1.91%,USD 2470.00,1000.00,100.00,1.23%,Reinvest,Y,0,
"DWS Global Agribusiness A2 SGD",SGD,10,Y,N,N,N,1.50%,1.68%,USD 57.40,1000.00,100.00,,,,0,
"NN (L) Asian Debt (Hard Currency) P SGD-H",SGD,4,Y,N,N,Y,1.00%,1.32%,USD 584.30,1000.00,100.00,,,,0,
"Schroder Asian Income A Dis AUD-H",AUD,6,Y,N,N,N,1.25%,1.44%,SGD 4934.63,1000.00,100.00,4.70%,Payout,M,0,
"First Sentier Global Property Securities A Acc SGD",SGD,10,Y,N,N,Y,1.50%,1.95%,SGD 17.00,1000.00,100.00,,,,0,
"JPMorgan Funds - US Aggregate Bond A (mth) SGD-H",SGD,3,Y,N,N,Y,0.90%,1.10%,USD 4421.30,1000.00,100.00,3.15%,Payout,M,0,
"Fidelity Global Income A-ACC-USD",USD,4,Y,N,N,N,0.90%,1.31%,USD 527.00,1000.00,100.00,,,,0,
"Fidelity Global Multi Asset Income A-ACC-USD",USD,6,Y,N,N,N,1.25%,1.68%,USD 10367.00,1000.00,100.00,,,,0,
"Fidelity Global Multi Asset Income A-QINCOME(G)-SGD",SGD,6,Y,N,N,Y,1.25%,1.68%,USD 10367.00,1000.00,100.00,4.47%,Payout,Q,0,
"Eastspring Investments - Asian Equity Income AADM AUD-H",AUD,8,Y,N,N,N,1.50%,1.61%,USD 622.60,1000.00,100.00,3.97%,Payout,M,0,
"JPMorgan Funds - Emerging Markets Opportunities A (acc) SGD-H",SGD,9,Y,N,N,Y,1.50%,1.80%,USD 5827.80,1000.00,500.00,,,,0,
"Principal Asia Pacific Dynamic Income Fund Class USD",USD,8,Y,N,N,N,1.50%,1.85%,USD 1320.00,1000.00,100.00,3.12%,Payout,Q,0,
"LGlobal Funds - Asia High Dividend Equity A Dis SGD",SGD,8,Y,N,N,N,1.50%,2.10%,USD 79.90,1000.00,1000.00,,Reinvest,Y,0,
"Threadneedle (Lux) Enhanced Commodities AGH Acc GBP-H",GBP,10,Y,N,N,Y,1.75%,2.05%,USD 572.70,1000.00,100.00,,,,0,
"DWS Invest Top Dividend LCH(P) SGD",SGD,7,Y,N,N,N,1.50%,1.61%,EUR 2521.50,1000.00,100.00,,,,0,
"Eastspring Investments - Asian High Yield Bond ANDM NZD-H",NZD,5,Y,N,N,N,1.00%,1.36%,USD 475.20,1000.00,100.00,7.98%,Payout,M,0,
"Fidelity Global Dividend A-MINCOME(G)-SGD",SGD,7,Y,N,N,Y,1.50%,1.89%,USD 10502.00,1000.00,100.00,2.58%,Payout,M,0,
"FTIF - Templeton Asian Growth A (acc) SGD-H1",SGD,8,Y,N,N,Y,1.35%,2.21%,USD 3480.00,1000.00,100.00,,,,0,
"Aviva Investors - Global High Yield Bond Am USD",USD,4,Y,N,N,Y,1.20%,1.40%,USD 3256.93,1000.00,100.00,5.60%,Payout,M,0,
"Amundi Funds Euroland Equity Small Cap A2 (C) USD",USD,10,Y,N,N,N,1.85%,2.10%,null ,1000.00,100.00,,,,0,
"Legg Mason Western Asset - Global High Yield A Mdis AUD-H Plus",AUD,4,Y,N,N,N,1.25%,1.55%,USD 93.93,1000.00,100.00,4.82%,Reinvest,M,0,
