Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,1253.98,555.27,504.32,857.38
Short Term Investments,16.40,2147.31,1398.33,2561.81,2007.16
Cash and Short Term Investments,3689.44,3401.28,1953.60,3066.13,2864.54
"Accounts Receivable - Trade, Net",1346.07,890.99,841.35,897.00,1988.49
"Total Receivables, Net",1453.28,1001.77,970.31,982.39,2119.21
Prepaid Expenses,72.01,97.48,76.57,67.07,52.63
"Other Current Assets, Total",29.85,568.78,381.61,546.39,374.17
Total Current Assets,10024.65,9388.10,9099.25,9834.27,10812.12
"Property/Plant/Equipment, Total - Gross",7220.49,7232.97,7465.21,8026.36,8299.15
"Accumulated Depreciation, Total",-2101.11,-2234.08,-2451.91,-2564.00,-2773.47
"Property/Plant/Equipment, Total - Net",5119.38,4998.89,5013.30,5462.37,5525.68
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",2.85,2.39,1.64,1.42,1.56
Long Term Investments,4149.31,4383.67,6361.29,7225.89,7097.80
Total Assets,19671.90,19364.29,20885.69,23200.26,23676.79
Accounts Payable,153.26,142.20,124.30,165.17,91.12
Accrued Expenses,629.03,648.65,588.69,513.20,478.51
Notes Payable/Short Term Debt,137.90,123.84,233.04,225.56,234.31
"Other Current liabilities, Total",1018.83,1136.68,899.34,817.53,1427.69
Total Current Liabilities,3721.85,3317.39,3103.78,3777.21,5044.42
Total Long Term Debt,3954.94,3755.65,5068.84,7862.60,8993.92
Total Debt,5875.67,5145.52,6560.30,10143.91,12041.03
Deferred Income Tax,270.80,179.32,113.78,107.59,96.85
"Other Liabilities, Total",503.40,465.81,325.35,186.30,299.15
Total Liabilities,10564.45,9973.01,10845.00,12680.01,15174.58
"Common Stock, Total",1991.40,1661.18,1661.18,1661.18,1661.18
Retained Earnings (Accumulated Deficit),7102.47,7477.44,8189.78,8656.79,6599.57
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),13.58,16.24,-21.04,40.93,-2.42
"Other Equity, Total",0.00,-93.80,-119.45,-168.87,-86.34
Total Equity,9107.45,9391.28,10040.70,10520.25,8502.21
Total Liabilities & Shareholders' Equity,19671.90,19364.29,20885.69,23200.26,23676.79
Total Common Shares Outstanding,909.30,909.30,906.90,906.90,906.90
"Tangible Book Value per Share, Common Eq",10.01,9.96,10.71,11.23,9.01
