Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4.75,4.22,7.58,10.39,16.38
Depreciation/Depletion,1.10,1.97,1.88,3.06,3.87
Non-Cash Items,0.01,1.16,-0.08,-0.12,0.35
Cash Taxes Paid,0.79,0.44,0.61,0.99,1.30
Changes in Working Capital,-1.37,-3.81,-1.80,-1.73,-2.16
Cash from Operating Activities,4.48,3.54,8.39,12.27,19.45
Capital Expenditures,-2.61,-2.00,-3.88,-1.68,-0.71
"Other Investing Cash Flow Items, Total",-4.24,8.31,-1.67,-0.52,0.58
Cash from Investing Activities,-6.85,6.31,-5.55,-2.19,-0.13
Total Cash Dividends Paid,0.00,0.00,-2.00,-3.43,-4.69
"Issuance (Retirement) of Stock, Net",0,7.50,0.00,0,0
Cash from Financing Activities,-0.64,5.10,-3.22,-4.83,-6.08
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-3.01,14.95,-0.38,5.25,13.24
