Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Ban Leong,B26,BANL.SI,44.853,182.682,6.24,6.49,Technology Equipment,70
Banyan Tree,B58,BANY.SI,263.166,157.832,,,Cyclical Consumer Services,92
BBR,KJ5,BBRS.SI,50.33,121.595,,,Industrial & Commercial Services,78
Beng Kuang,BEZ,BENK.SI,5.265,42.667,,,Industrial & Commercial Services,75
Best World,CGN,BEST.SI,731.949,599.524,,3.99,Personal & Household Products & Services,64
Beverly JCG,VFP,BEVE.SI,17.928,5.446,,,Healthcare Services,
BH Global,BQN,BHGC.SI,94.5,53.219,29.36,1.59,Industrial Goods,69
BHG Retail Reit,BMGU,BHGR.SI,289.121,60.561,,3.45,Real Estate,81.4
Biolidics,8YY,BIOL.SI,80.963,8.907,,,Healthcare Services,
BlackGoldNatural,41H,BLAC.SI,17.29,12.809,,,Energy - Fossil Fuels,66
Blumont,A33,BLUM.SI,110.283,3.499,,,Industrial & Commercial Services,59
Boldtek,5VI,BOLD.SI,18.377,38.264,,,Real Estate,77
Bonvests,B28,BVHS.SI,381.441,120.588,,0.32,Cyclical Consumer Services,63
Boustead,F9D,BTSS.SI,625.084,685.71,5.37,3.2,Industrial & Commercial Services,77
Boustead Proj,AVM,BOUS.SI,400,301.405,2.96,0.72,Industrial & Commercial Services,85
BRC Asia,BEC,BRCA.SI,367.443,646.541,21.14,1.33,Cyclical Consumer Products,54
Broadway Ind,B69,BRWY.SI,67.484,400.673,4.74,,Industrial Goods,53
Brook Crompton,AWC,BROO.SI,22.871,44.861,10.6,3.1,Industrial Goods,72
Bukit Sembawang,B61,BSES.SI,1276.433,374.25,15.36,0.81,Real Estate,77
Bumitama Agri,P8Z,BUMI.SI,808.465,846.118,7.67,5.22,Food & Beverages,77
Bund Center,BTE,BCIL.SI,456.294,,,3.75,Real Estate,68
Camsing Hc,BAC,CAMS.SI,30.28,12.958,,,Retailers,44
Capital World,1D5,CAPI.SI,9.16,13.869,,,Real Estate,53
CapitaLand,C31,CATL.SI,19313.789,6532.572,,2.46,Real Estate,123
