Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,203.81,0,348.29,0,431.11
Short Term Investments,610.64,21.73,613.19,257.50,1193.48
Cash and Short Term Investments,814.45,952.02,961.48,1347.83,1624.59
"Accounts Receivable - Trade, Net",32.73,33.46,26.05,117.62,19.21
"Total Receivables, Net",97.58,111.37,127.94,117.62,19.21
Prepaid Expenses,320.67,229.68,146.69,0,0
"Other Current Assets, Total",1334.26,1232.32,1294.38,1677.96,1651.79
Total Current Assets,2568.30,2526.72,2531.74,3144.32,3296.22
"Property/Plant/Equipment, Total - Gross",363.88,352.41,323.12,0,343.70
"Accumulated Depreciation, Total",-168.10,-174.31,-175.65,0,-205.79
"Property/Plant/Equipment, Total - Net",195.78,178.10,147.46,149.21,137.91
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",1.78,1.78,1.78,162.22,235.95
Long Term Investments,1467.71,2068.41,2132.00,2488.55,2596.49
Total Assets,6079.85,6556.11,6560.53,7757.54,8066.69
Accounts Payable,39.31,42.33,41.98,48.79,106.01
Accrued Expenses,27.30,26.26,35.50,0,28.05
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",605.87,693.42,597.46,719.87,710.01
Total Current Liabilities,796.84,970.17,750.36,832.65,1506.81
Total Long Term Debt,1234.55,1316.79,1776.80,1991.04,1714.42
Total Debt,1358.92,1524.95,1852.22,2055.02,2377.16
Deferred Income Tax,0.01,0.01,0.01,0.01,0.01
"Other Liabilities, Total",193.14,239.53,250.06,235.18,267.01
Total Liabilities,4096.27,4408.33,4522.70,5198.03,5227.14
"Common Stock, Total",2057.84,2057.84,2057.84,2057.84,2057.84
Retained Earnings (Accumulated Deficit),1263.69,1566.73,1661.43,2033.20,2392.28
Treasury Stock - Common,-170.46,-170.46,-170.46,-170.46,-170.57
Unrealised Gain (Loss),6.61,0.19,3.26,3.26,3.29
"Other Equity, Total",-1174.12,-1306.52,-1514.24,-1364.33,-1443.30
Total Equity,1983.57,2147.79,2037.83,2559.51,2839.55
Total Liabilities & Shareholders' Equity,6079.85,6556.11,6560.53,7757.54,8066.69
Total Common Shares Outstanding,4255.86,4255.86,4255.86,4255.86,4255.16
"Tangible Book Value per Share, Common Eq",0.47,0.50,0.48,0.56,0.61
