Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Jul 2016,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Source,PROSPECTUS,PROSPECTUS,ARS,ARS,PRESS
Net Income/Starting Line,-0.37,2.49,10.91,13.14,3.48
Depreciation/Depletion,0.00,0.10,0.20,0.33,0.48
Non-Cash Items,-0.07,0.83,4.79,2.87,0.83
Cash Taxes Paid,0.00,0.40,3.64,4.37,2.70
Changes in Working Capital,0.93,-0.71,-5.93,-5.59,-0.97
Cash from Operating Activities,0.50,2.72,9.97,10.76,3.82
Capital Expenditures,-0.50,-0.31,-2.19,-2.51,-3.42
"Other Investing Cash Flow Items, Total",0,0,0,0,0
Cash from Investing Activities,-0.50,-0.31,-2.19,-2.51,-3.42
Total Cash Dividends Paid,0,0,0.00,-2.30,-2.51
"Issuance (Retirement) of Stock, Net",0,0,15.21,0.00,0
Cash from Financing Activities,0.00,-0.01,14.29,-1.61,-1.80
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,0.00,2.39,22.07,6.63,-1.39
