Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,PRESS
Revenue,100.97,112.65,120.93,119.44,123.70
Total Revenue,100.97,112.65,120.93,119.44,123.70
"Selling/General/Admin. Expenses, Total",28.76,28.87,32.16,34.61,36.66
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.26,0.00,0.99,0.00,0
"Other Operating Expenses, Total",-0.67,-0.27,-0.28,-0.55,-2.25
Total Operating Expense,94.21,104.29,113.00,110.84,114.35
Operating Income,6.76,8.36,7.93,8.61,9.35
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.31,-0.21,-0.13,-0.14,-0.11
"Other, Net",-0.97,-0.99,-0.74,-0.48,-2.13
Net Income Before Taxes,5.48,7.16,7.00,7.99,7.11
Provision for Income Taxes,0.24,1.07,1.59,1.46,0.95
Net Income After Taxes,5.24,6.09,5.41,6.53,6.16
Net Income Before Extra. Items,5.24,6.09,5.41,6.53,6.16
Net Income,5.24,6.09,5.41,6.53,6.16
Income Available to Com Excl ExtraOrd,5.24,6.09,5.41,6.53,6.16
Income Available to Com Incl ExtraOrd,5.24,6.09,5.41,6.53,6.16
Diluted Net Income,5.24,6.09,5.41,6.53,6.16
Diluted Weighted Average Shares,240.00,240.00,300.00,300.27,300.43
Diluted EPS Excluding ExtraOrd Items,0.02,0.03,0.02,0.02,0.02
DPS - Common Stock Primary Issue,0,0,0.01,0.01,0.01
Diluted Normalised EPS,0.02,0.03,0.02,0.02,0.02
