Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,719.36,1016.02,1068.83,1073.20,1146.28
Short Term Investments,304.31,336.70,230.52,247.57,201.14
Cash and Short Term Investments,1023.67,1352.73,1299.35,1320.77,1347.42
"Accounts Receivable - Trade, Net",1690.12,1597.04,1564.98,1617.50,1761.90
"Total Receivables, Net",1761.18,1687.74,1654.81,1699.94,1843.00
Prepaid Expenses,4.46,5.24,4.59,5.13,4.01
"Other Current Assets, Total",34.20,19.53,17.04,3.11,26.65
Total Current Assets,3305.06,3720.44,3564.43,3636.91,4204.01
"Property/Plant/Equipment, Total - Gross",1923.17,1901.29,1616.89,1831.05,1929.65
"Accumulated Depreciation, Total",-811.88,-895.63,-722.93,-751.33,-821.50
"Property/Plant/Equipment, Total - Net",1111.30,1005.66,893.96,1079.72,1108.16
"Goodwill, Net",1.33,1.33,1.33,1.28,0.90
"Intangibles, Net",66.85,50.96,42.61,144.33,263.90
Long Term Investments,87.94,93.92,109.15,129.12,141.51
Total Assets,4775.12,5089.25,4817.44,5115.21,5856.90
Accounts Payable,1202.21,1283.68,1030.52,1252.66,1572.22
Accrued Expenses,405.77,281.96,258.17,307.46,344.37
Notes Payable/Short Term Debt,4.84,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",204.25,333.66,301.34,311.29,496.52
Total Current Liabilities,2350.12,2577.01,2134.69,2530.22,2917.56
Total Long Term Debt,167.01,217.70,230.31,125.49,333.93
Total Debt,704.90,895.41,774.97,784.31,838.39
Deferred Income Tax,43.37,41.50,34.74,35.07,29.11
"Other Liabilities, Total",97.26,109.81,158.75,171.26,157.96
Total Liabilities,4076.68,4473.32,4070.59,4350.38,4976.93
"Common Stock, Total",266.83,266.83,467.89,467.89,467.89
Retained Earnings (Accumulated Deficit),438.10,311.93,303.16,329.37,388.91
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),45.25,45.86,2.19,8.38,28.23
"Other Equity, Total",-51.74,-8.69,-26.39,-40.81,-5.05
Total Equity,698.44,615.93,746.85,764.82,879.97
Total Liabilities & Shareholders' Equity,4775.12,5089.25,4817.44,5115.21,5856.90
Total Common Shares Outstanding,384.02,384.02,747.82,747.82,747.82
"Tangible Book Value per Share, Common Eq",1.64,1.47,0.94,0.83,0.82
