Fiscal Year,2013,2014,2015,2016,2017
Period Ended,31 Dec 2013,31 Dec 2014,31 Dec 2015,31 Dec 2016,31 Dec 2017
Source,ARS,ARS,ARS,ARS,ARS
Cash,149.01,256.79,237.30,136.20,212.18
Short Term Investments,92.80,181.91,76.09,142.99,35.04
Cash and Short Term Investments,241.80,438.70,313.38,279.18,247.21
"Accounts Receivable - Trade, Net",294.96,296.83,304.08,497.40,291.69
"Total Receivables, Net",313.07,316.26,357.71,511.96,297.91
Prepaid Expenses,12.32,14.84,34.68,0,0
"Other Current Assets, Total",6.04,15.23,220.84,248.15,1548.25
Total Current Assets,620.87,838.81,995.51,1084.07,2142.36
"Property/Plant/Equipment, Total - Gross",267.57,214.61,266.14,293.40,238.35
"Accumulated Depreciation, Total",-87.14,-98.75,-98.53,-109.63,-117.23
"Property/Plant/Equipment, Total - Net",180.44,115.86,167.60,183.77,121.12
"Goodwill, Net",0.00,0.00,0.00,0.00,0.00
"Intangibles, Net",834.43,1021.08,1153.42,1107.59,21.02
Long Term Investments,360.42,352.74,146.21,185.92,190.66
Total Assets,2396.51,2741.72,3036.53,3842.40,3653.23
Accounts Payable,154.63,133.89,178.21,484.12,416.76
Accrued Expenses,36.32,53.27,53.56,34.05,26.22
Notes Payable/Short Term Debt,129.00,153.46,659.65,23.84,0.00
"Other Current liabilities, Total",39.90,50.00,54.45,84.45,636.64
Total Current Liabilities,359.86,390.63,945.87,907.55,1432.07
Total Long Term Debt,1137.98,979.33,764.30,1367.50,1173.20
Total Debt,1266.98,1132.80,1423.95,1672.43,1525.66
Deferred Income Tax,5.18,0.49,1.17,4.75,4.50
"Other Liabilities, Total",7.20,29.28,13.17,14.52,35.90
Total Liabilities,1513.93,1404.53,1737.89,2315.64,2671.21
"Common Stock, Total",606.89,607.26,607.26,607.26,607.26
Retained Earnings (Accumulated Deficit),332.02,338.46,323.04,251.51,66.32
Treasury Stock - Common,-51.48,-61.94,-85.93,-85.93,-85.93
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-4.85,453.40,454.28,753.92,394.37
Total Equity,882.57,1337.18,1298.65,1526.76,982.02
Total Liabilities & Shareholders' Equity,2396.51,2741.72,3036.53,3842.40,3653.23
Total Common Shares Outstanding,827.01,816.99,785.29,785.29,785.29
"Tangible Book Value per Share, Common Eq",0.06,0.39,0.18,0.53,1.22
