Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Net Income/Starting Line,9.41,9.32,-1.91,-4.76,-9.82
Depreciation/Depletion,0.08,0.25,0.37,1.22,5.62
Non-Cash Items,0.06,0.01,5.48,1.03,2.73
Cash Taxes Paid,1.86,1.49,0.04,0.62,0.02
Changes in Working Capital,-2.24,-4.72,-1.87,1.16,0.79
Cash from Operating Activities,7.31,4.84,2.08,-1.35,-0.67
Capital Expenditures,-0.06,-0.21,-0.81,-3.22,-2.28
"Other Investing Cash Flow Items, Total",-3.23,-5.81,2.21,-1.21,0.09
Cash from Investing Activities,-3.28,-6.02,1.40,-4.43,-2.19
Total Cash Dividends Paid,-3.80,0.00,-2.64,0.00,0
"Issuance (Retirement) of Stock, Net",0,0,23.85,0.00,0
Cash from Financing Activities,-3.80,0.80,19.89,-2.09,-0.00
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,0.22,-0.38,23.37,-7.87,-2.87
